"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4276","escape (41041)","edge tests","Sat Jul 19 16:16:20 GMT 2025","passed","Sat Jul 19 16:16:24 GMT 2025","","escape.spec.ts","",""
"","3877","toscabot can fly (60469)","edge tests","Sat Jul 19 16:17:14 GMT 2025","passed","Sat Jul 19 16:17:18 GMT 2025","","toscabot-can-fly.spec.ts","",""
"","5269","extracting text (81012)","safari (webkit) tests","Sat Jul 19 16:18:58 GMT 2025","passed","Sat Jul 19 16:19:03 GMT 2025","","extracting-text.spec.ts","",""
"","5668","red stripe (30034)","safari (webkit) tests","Sat Jul 19 16:20:21 GMT 2025","passed","Sat Jul 19 16:20:27 GMT 2025","","red-stripe.spec.ts","",""
"","3623","tough cookie (45618)","edge tests","Sat Jul 19 16:17:15 GMT 2025","passed","Sat Jul 19 16:17:19 GMT 2025","","tough-cookie.spec.ts","",""
"","6236","dropdown table (14090)","chromium tests","Sat Jul 19 16:14:48 GMT 2025","passed","Sat Jul 19 16:14:55 GMT 2025","","dropdown-table.spec.ts","",""
"","7401","two times (72954)","safari (webkit) tests","Sat Jul 19 16:22:10 GMT 2025","passed","Sat Jul 19 16:22:17 GMT 2025","","two-times.spec.ts","",""
"","5196","fun with tables (92248)","safari (webkit) tests","Sat Jul 19 16:19:19 GMT 2025","passed","Sat Jul 19 16:19:24 GMT 2025","","fun-with-tables.spec.ts","",""
"","7389","tough cookie (45618)","safari (webkit) tests","Sat Jul 19 16:21:26 GMT 2025","passed","Sat Jul 19 16:21:34 GMT 2025","","tough-cookie.spec.ts","",""
"","5230","todolist (23292)","edge tests","Sat Jul 19 16:17:10 GMT 2025","passed","Sat Jul 19 16:17:15 GMT 2025","","todolist.spec.ts","",""
"","3717","fill tomorrow's date (19875)","edge tests","Sat Jul 19 16:17:10 GMT 2025","passed","Sat Jul 19 16:17:14 GMT 2025","","tomorrow.spec.ts","",""
"","3464","red stripe (30034)","edge tests","Sat Jul 19 16:16:55 GMT 2025","passed","Sat Jul 19 16:16:58 GMT 2025","","red-stripe.spec.ts","",""
"","6704","and counting (24499)","safari (webkit) tests","Sat Jul 19 16:17:52 GMT 2025","passed","Sat Jul 19 16:17:59 GMT 2025","","and-counting.spec.ts","",""
"","19162","bubble sort (73589)","safari (webkit) tests","Sat Jul 19 16:24:09 GMT 2025","passed","Sat Jul 19 16:24:28 GMT 2025","","bubble-sort.spec.ts","",""
"","4387","empty (66667)","edge tests","Sat Jul 19 16:16:15 GMT 2025","passed","Sat Jul 19 16:16:19 GMT 2025","","empty.spec.ts","",""
"","4245","scroll into view (99999)","edge tests","Sat Jul 19 16:16:57 GMT 2025","passed","Sat Jul 19 16:17:01 GMT 2025","","scroll-into-view.spec.ts","",""
"","8588","again and again and again (81121)","chromium tests","Sat Jul 19 16:14:32 GMT 2025","passed","Sat Jul 19 16:14:40 GMT 2025","","again-and-again-and-again.spec.ts","",""
"","4352","the obvious (73588)","edge tests","Sat Jul 19 16:17:06 GMT 2025","passed","Sat Jul 19 16:17:10 GMT 2025","","the-obvious.spec.ts","",""
"","3957","not a table (64161)","edge tests","Sat Jul 19 16:16:51 GMT 2025","passed","Sat Jul 19 16:16:55 GMT 2025","","not-a-table.spec.ts","",""
"","4202","fun with tables (92248)","edge tests","Sat Jul 19 16:16:30 GMT 2025","passed","Sat Jul 19 16:16:34 GMT 2025","","fun-with-tables.spec.ts","",""
"","6100","again and again and again (81121)","edge tests","Sat Jul 19 16:15:56 GMT 2025","passed","Sat Jul 19 16:16:02 GMT 2025","","again-and-again-and-again.spec.ts","",""
"","4523","find and fill (73590)","edge tests","Sat Jul 19 16:16:25 GMT 2025","passed","Sat Jul 19 16:16:30 GMT 2025","","find-and-fill.spec.ts","",""
"","4449","click me if you can (41040)","chromium tests","Sat Jul 19 16:14:44 GMT 2025","passed","Sat Jul 19 16:14:48 GMT 2025","","click-me-if-you-can.spec.ts","",""
"","180215","bubble sort (73589)","edge tests","Sat Jul 19 16:22:19 GMT 2025","broken","Sat Jul 19 16:25:19 GMT 2025","","bubble-sort.spec.ts","",""
"","5166","ids are not everything (22505)","chromium tests","Sat Jul 19 16:15:13 GMT 2025","passed","Sat Jul 19 16:15:18 GMT 2025","","ids-are-not-everything.spec.ts","",""
"","5153","table search (41036)","safari (webkit) tests","Sat Jul 19 16:20:33 GMT 2025","passed","Sat Jul 19 16:20:38 GMT 2025","","table-search.spec.ts","",""
"","6115","scroll into view (99999)","safari (webkit) tests","Sat Jul 19 16:20:27 GMT 2025","passed","Sat Jul 19 16:20:33 GMT 2025","","scroll-into-view.spec.ts","",""
"","4685","confusing dates (57683)","chromium tests","Sat Jul 19 16:14:44 GMT 2025","passed","Sat Jul 19 16:14:49 GMT 2025","","confusing-dates.spec.ts","",""
"","9642","again and again and again (81121)","safari (webkit) tests","Sat Jul 19 16:17:50 GMT 2025","passed","Sat Jul 19 16:17:59 GMT 2025","","again-and-again-and-again.spec.ts","",""
"","4070","not a table (64161)","chromium tests","Sat Jul 19 16:15:20 GMT 2025","passed","Sat Jul 19 16:15:24 GMT 2025","","not-a-table.spec.ts","",""
"","4613","and counting (24499)","edge tests","Sat Jul 19 16:16:03 GMT 2025","passed","Sat Jul 19 16:16:07 GMT 2025","","and-counting.spec.ts","",""
"","4569","toscabot can fly (60469)","chromium tests","Sat Jul 19 16:15:37 GMT 2025","passed","Sat Jul 19 16:15:42 GMT 2025","","toscabot-can-fly.spec.ts","",""
"","7998","twins (12952)","safari (webkit) tests","Sat Jul 19 16:22:02 GMT 2025","passed","Sat Jul 19 16:22:10 GMT 2025","","twins.spec.ts","",""
"","4149","tough cookie (45618)","chromium tests","Sat Jul 19 16:15:38 GMT 2025","passed","Sat Jul 19 16:15:42 GMT 2025","","tough-cookie.spec.ts","",""
"","7464","toscabot can fly (60469)","safari (webkit) tests","Sat Jul 19 16:21:19 GMT 2025","passed","Sat Jul 19 16:21:26 GMT 2025","","toscabot-can-fly.spec.ts","",""
"","8506","errors occur (70924)","chromium tests","Sat Jul 19 16:14:54 GMT 2025","passed","Sat Jul 19 16:15:02 GMT 2025","","errors-occur.spec.ts","",""
"","4311","confusing dates (57683)","edge tests","Sat Jul 19 16:16:11 GMT 2025","passed","Sat Jul 19 16:16:15 GMT 2025","","confusing-dates.spec.ts","",""
"","4191","future christmas (21269)","chromium tests","Sat Jul 19 16:15:08 GMT 2025","passed","Sat Jul 19 16:15:13 GMT 2025","","future-christmas.spec.ts","",""
"","4879","find and fill (73590)","chromium tests","Sat Jul 19 16:15:02 GMT 2025","passed","Sat Jul 19 16:15:07 GMT 2025","","find-and-fill.spec.ts","",""
"","3661","testing methods (94441)","edge tests","Sat Jul 19 16:17:02 GMT 2025","passed","Sat Jul 19 16:17:06 GMT 2025","","testing-methods.spec.ts","",""
"","4827","click me if you can (41040)","edge tests","Sat Jul 19 16:16:09 GMT 2025","passed","Sat Jul 19 16:16:14 GMT 2025","","click-me-if-you-can.spec.ts","",""
"","5140","fill tomorrow's date (19875)","chromium tests","Sat Jul 19 16:15:37 GMT 2025","passed","Sat Jul 19 16:15:42 GMT 2025","","tomorrow.spec.ts","",""
"","4517","extracting text (81012)","chromium tests","Sat Jul 19 16:14:59 GMT 2025","passed","Sat Jul 19 16:15:04 GMT 2025","","extracting-text.spec.ts","",""
